序号,图片编号,书名,作者/译者,出版社/出品方,类别,丛书/版本,语种,定价,状态,备注
1,DSCN8983,历史悲剧的维度：欧洲电影大师访谈与研究,李洋 主编,河南大学出版社,人文社科,新迷影丛书,中,,在售,
2,DSCN8984,月光的合金：露易丝·格丽克诗集,[美] 露易丝·格丽克 著，柳向阳 译,上海人民出版社（文景）,文学,格丽克诗集,中,,在售,
3,DSCN8985,数值最优化方法,高立 编著,北京大学出版社,数学,北京大学数学教学系列丛书 · 本科生数学基础课教材,中,,在售,
4,DSCN8986,制度是如何形成的（增订版）,苏力 著,北京大学出版社,人文社科,增订版,中,,在售,
5,DSCN8987,北京大学信息科学技术学院本科生课程体系（修订版）,李文新、胡薇薇 主编,清华大学出版社,讲义·白皮书,修订版 · 绿色封面,中,,在售,信科院内课程体系说明
6,DSCN8988,北京大学信息科学技术学院本科生课程体系,胡薇薇、李文新 主编,清华大学出版社,讲义·白皮书,初版 · 蓝色封面,中,,在售,信科院内课程体系说明
7,DSCN8989,机器人学：建模、控制与视觉（第2版）,熊有伦、李文龙、陈文斌 等 编著,华中科技大学出版社,电子·工程,第2版 · 首届全国教材建设奖一等奖,中,,在售,
8,DSCN8990,DirectX 12 3D 游戏开发实战,[美] 弗兰克·D.卢娜 著，王陈 译,人民邮电出版社,计算机,DirectX 12 书 · 3D 游戏开发宝典,中,,在售,
9,DSCN8991,Fluid Mechanics (Fourth Edition),Frank M. White,WCB / McGraw-Hill,物理,第4版 · 英文原版,英,,在售,国际版平装
10,DSCN8992,计算流体动力学 Computational Fluid Dynamics,蔡庆东,北京大学工学院力学与工程科学系,讲义·白皮书,本科生研究生专业基础课讲义 · 2025年2月,中,,在售,校内讲义
11,DSCN8993,机器学习基础 Fundamentals of Machine Learning,北京大学工学院,北京大学工学院,讲义·白皮书,课程讲义,中,,在售,校内讲义
12,DSCN8994,电子电路与系统基础 Foundations of Electronic Circuits and Systems,李国林 编著,清华大学出版社,电子·工程,清华大学电子工程系核心课系列教材,中,,在售,
13,DSCN8995,GRE 基础填空 24 套精练与精析,黄晨成、戈弋、陈琦 编著,浙江教育出版社,留学·语言,再要你命 3K 系列,中,,在售,
14,DSCN8996,CAD 技术基础及开发技术（AutoCAD 2022 版）,李水乡 编著,北京大学出版社,电子·工程,AutoCAD 2022 版,中,,在售,
15,DSCN8997,散打 运动入门,叶伟、崔建功、曹云清 编著,人民体育出版社,生活·体育,现代搏击入门丛书,中,,在售,
